observation	subject	trial	gap_size	target_size	correct_side	dots_left	dots_right	dotpair_id	vagueness	Text	is_error	rt
301	5	45	Big	Small	Right	9	5	5:9	Crisp	five	0	949
302	5	46	Big	Big	Right	2	6	2:6	Vague	many	0	789
303	5	47	Big	Big	Right	3	7	7:3	Crisp	seven	0	1108
304	5	48	Small	Small	Right	5	3	3:5	Crisp	three	0	703
305	5	49	Big	Small	Left	4	8	8:4	Vague	few	0	754
306	5	50	Small	Small	Right	9	7	7:9	Crisp	seven	0	1689
307	5	51	Small	Small	Left	7	9	7:9	Vague	few	0	999
308	5	52	Small	Big	Right	7	9	7:9	Vague	many	0	885
309	5	53	Big	Big	Left	9	5	5:9	Vague	many	0	1010
310	5	54	Small	Big	Left	9	7	7:9	Crisp	nine	0	3192
311	5	55	Big	Small	Left	3	7	7:3	Vague	few	0	897
312	5	56	Big	Small	Right	8	4	8:4	Crisp	four	0	701
313	5	57	Big	Big	Left	7	3	7:3	Crisp	seven	0	743
314	5	58	Small	Small	Left	6	8	6:8	Crisp	six	0	1439
315	5	59	Small	Big	Left	4	2	2:4	Crisp	four	0	1405
316	5	60	Small	Small	Right	8	6	6:8	Vague	few	0	1166
317	5	61	Small	Small	Left	2	4	2:4	Crisp	two	0	702
318	5	62	Small	Small	Left	6	8	6:8	Vague	few	0	1097
319	5	63	Small	Small	Right	4	2	2:4	Vague	few	0	853
320	5	64	Big	Big	Left	9	5	5:9	Crisp	nine	0	1144
321	6	1	Big	Big	Right	3	7	7:3	Crisp	seven	0	2754
322	6	2	Small	Small	Left	7	9	7:9	Vague	few	0	5537
323	6	3	Big	Small	Right	8	4	8:4	Vague	few	0	1801
324	6	4	Big	Big	Left	8	4	8:4	Vague	many	0	1108
325	6	5	Small	Big	Left	8	6	6:8	Vague	many	0	1806
326	6	6	Small	Small	Right	4	2	2:4	Vague	few	0	902
327	6	7	Small	Small	Left	7	9	7:9	Crisp	seven	0	2641
328	6	8	Big	Small	Left	3	7	7:3	Vague	few	0	1100
329	6	9	Small	Big	Left	8	6	6:8	Crisp	eight	0	2431
330	6	10	Big	Small	Right	8	4	8:4	Crisp	four	0	1596
331	6	11	Big	Big	Right	2	6	2:6	Vague	many	0	982
332	6	12	Small	Big	Right	2	4	2:4	Crisp	four	0	1342
333	6	13	Big	Small	Left	2	6	2:6	Crisp	two	0	1025
334	6	14	Small	Small	Left	6	8	6:8	Crisp	six	0	1535
335	6	15	Small	Big	Right	3	5	3:5	Vague	many	0	1435
336	6	16	Big	Big	Left	8	4	8:4	Crisp	eight	0	3666
337	6	17	Small	Small	Right	5	3	3:5	Vague	few	0	1168
338	6	18	Big	Big	Left	9	5	5:9	Vague	many	0	1402
339	6	19	Big	Big	Right	2	6	2:6	Crisp	six	0	1250
340	6	20	Big	Small	Right	7	3	7:3	Crisp	three	0	1432
341	6	21	Small	Small	Right	5	3	3:5	Crisp	three	0	1136
342	6	22	Small	Small	Left	3	5	3:5	Crisp	three	0	1105
343	6	23	Big	Small	Right	7	3	7:3	Vague	few	0	1557
344	6	24	Small	Big	Left	4	2	2:4	Vague	many	0	1160
345	6	25	Small	Small	Left	6	8	6:8	Vague	few	0	1463
346	6	26	Small	Big	Right	6	8	6:8	Crisp	eight	0	2364
347	6	27	Big	Big	Right	5	9	5:9	Vague	many	0	1866
348	6	28	Small	Big	Left	9	7	7:9	Crisp	nine	0	2459
349	6	29	Small	Big	Right	3	5	3:5	Crisp	five	0	2075
350	6	30	Big	Big	Right	4	8	8:4	Vague	many	0	1692
351	6	31	Small	Big	Left	5	3	3:5	Vague	many	0	1209
352	6	32	Big	Small	Left	2	6	2:6	Vague	few	0	1105
353	6	33	Big	Big	Left	6	2	2:6	Vague	many	0	1017
354	6	34	Small	Big	Right	7	9	7:9	Crisp	nine	0	2541
355	6	35	Big	Big	Left	6	2	2:6	Crisp	six	0	1477
356	6	36	Small	Small	Right	9	7	7:9	Crisp	seven	0	2260
357	6	37	Big	Big	Right	3	7	7:3	Vague	many	0	1100
358	6	38	Small	Small	Right	9	7	7:9	Vague	few	0	3185
359	6	39	Big	Small	Right	9	5	5:9	Vague	few	0	2577
360	6	40	Big	Small	Left	3	7	7:3	Crisp	three	0	831
361	6	41	Small	Big	Right	7	9	7:9	Vague	many	0	1451
362	6	42	Small	Big	Right	6	8	6:8	Vague	many	0	1651
363	6	43	Big	Small	Left	5	9	5:9	Vague	few	0	1378
364	6	44	Small	Big	Left	4	2	2:4	Crisp	four	0	1275
