"Subject" "Item" "id" "Trial" "Vagueness" "Selection" "Order" "Quantity" "Instruction" "nchar_instr" "RT" "RT_raw" "RT_log" "RTprev_log" "RTprev_raw" "rt_instr" "response_cat"
"106" "s01" "16:25:34" "s01:t106" 106 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 20 dots'" 36 1776 1776 7.48211892355212 6.7093043402583 820 567 "Near"
"107" "s01" "26:35:44" "s01:t107" 107 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 30 dots'" 36 1381 1381 7.23056315340929 7.48211892355212 1776 512 "Far"
"108" "s01" "36:45:54" "s01:t108" 108 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 50 dots'" 41 813 813 6.70073110954781 7.23056315340929 1381 563 "Expected"
"109" "s01" "06:15:24" "s01:t109" 109 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 10 dots'" 36 645 645 6.46925031679577 6.70073110954781 813 678 "Expected"
"110" "s01" "16:25:34" "s01:t110" 110 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 20 dots'" 40 1080 1080 6.98471632011827 6.46925031679577 645 815 "Expected"
"111" "s01" "26:35:44" "s01:t111" 111 "Vague" "Comparison" "RtoL" "Large" "'Choose a square with far more than 30 dots'" 44 832 832 6.72383244082121 6.98471632011827 1080 608 "Expected"
"112" "s01" "36:45:54" "s01:t112" 112 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 36 dots'" 30 936 936 6.84161547647759 6.72383244082121 832 474 "Near"
"113" "s01" "06:15:24" "s01:t113" 113 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 6 dots'" 29 793 793 6.67582322163485 6.84161547647759 936 543 "Expected"
"114" "s01" "16:25:34" "s01:t114" 114 "Vague" "Comparison" "RtoL" "Large" "'Choose a square with far more than 20 dots'" 44 766 766 6.64118216974059 6.67582322163485 793 620 "Expected"
"115" "s01" "26:35:44" "s01:t115" 115 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 26 dots'" 30 1392 1392 7.23849684089437 6.64118216974059 766 505 "Near"
"116" "s01" "36:45:54" "s01:t116" 116 "Crisp" "Comparison" "LtoR" "Large" "'Choose a square with more than 40 dots'" 40 1083 1083 6.98749024700099 7.23849684089437 1392 469 "Expected"
"117" "s01" "06:15:24" "s01:t117" 117 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 6 dots'" 29 591 591 6.3818160174061 6.98749024700099 1083 539 "Expected"
"118" "s01" "16:25:34" "s01:t118" 118 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 20 dots'" 36 811 811 6.69826805411541 6.3818160174061 591 794 "Near"
"119" "s01" "26:35:44" "s01:t119" 119 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 40 dots'" 36 723 723 6.58340922215876 6.69826805411541 811 493 "Expected"
"120" "s01" "36:45:54" "s01:t120" 120 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 50 dots'" 36 661 661 6.49375383985169 6.58340922215876 723 521 "Expected"
"121" "s01" "06:15:24" "s01:t121" 121 "Vague" "Comparison" "RtoL" "Large" "'Choose a square with far more than 10 dots'" 44 1423 1423 7.26052259808985 6.49375383985169 661 621 "Expected"
"122" "s01" "16:25:34" "s01:t122" 122 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 30 dots'" 41 963 963 6.87005341179813 7.26052259808985 1423 601 "Expected"
"123" "s01" "26:35:44" "s01:t123" 123 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 30 dots'" 36 927 927 6.83195356556585 6.87005341179813 963 657 "Far"
"124" "s01" "36:45:54" "s01:t124" 124 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 36 dots'" 30 889 889 6.7900972355139 6.83195356556585 927 526 "Far"
"125" "s01" "06:15:24" "s01:t125" 125 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 20 dots'" 45 694 694 6.5424719605068 6.7900972355139 889 497 "Expected"
"126" "s01" "16:25:34" "s01:t126" 126 "Crisp" "Comparison" "LtoR" "Small" "'Choose a square with fewer than 30 dots'" 41 612 612 6.41673228251233 6.5424719605068 694 669 "Expected"
"127" "s01" "26:35:44" "s01:t127" 127 "Vague" "Comparison" "RtoL" "Small" "'Choose a square with far fewer than 40 dots'" 45 621 621 6.43133108193348 6.41673228251233 612 661 "Expected"
"128" "s01" "36:45:54" "s01:t128" 128 "Vague" "Matching" "LtoR" "Small" "'Choose a square with about 40 dots'" 36 651 651 6.47850964220857 6.43133108193348 621 551 "Far"
"129" "s01" "06:15:24" "s01:t129" 129 "Crisp" "Comparison" "RtoL" "Small" "'Choose a square with fewer than 20 dots'" 41 757 757 6.62936325343745 6.47850964220857 651 1276 "Expected"
"130" "s01" "16:25:34" "s01:t130" 130 "Crisp" "Comparison" "RtoL" "Large" "'Choose a square with more than 20 dots'" 40 621 621 6.43133108193348 6.62936325343745 757 745 "Expected"
"131" "s01" "26:35:44" "s01:t131" 131 "Vague" "Matching" "RtoL" "Small" "'Choose a square with about 30 dots'" 36 805 805 6.69084227741856 6.43133108193348 621 702 "Far"
"132" "s01" "36:45:54" "s01:t132" 132 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 50 dots'" 36 736 736 6.60123011872888 6.69084227741856 805 648 "Expected"
"133" "s01" "06:15:24" "s01:t133" 133 "Crisp" "Matching" "RtoL" "Small" "'Choose a square with 6 dots'" 29 569 569 6.34388043412633 6.60123011872888 736 524 "Expected"
"134" "s01" "16:25:34" "s01:t134" 134 "Crisp" "Matching" "RtoL" "Large" "'Choose a square with 34 dots'" 30 671 671 6.50876913697168 6.34388043412633 569 540 "Expected"
"135" "s01" "26:35:44" "s01:t135" 135 "Vague" "Matching" "RtoL" "Large" "'Choose a square with about 40 dots'" 36 636 636 6.45519856334012 6.50876913697168 671 495 "Expected"
"136" "s01" "36:45:54" "s01:t136" 136 "Vague" "Comparison" "LtoR" "Large" "'Choose a square with far more than 40 dots'" 44 554 554 6.31716468674728 6.45519856334012 636 510 "Expected"
"137" "s01" "06:15:24" "s01:t137" 137 "Vague" "Comparison" "LtoR" "Small" "'Choose a square with far fewer than 20 dots'" 45 577 577 6.3578422665081 6.31716468674728 554 598 "Expected"
"138" "s01" "16:25:34" "s01:t138" 138 "Crisp" "Matching" "LtoR" "Small" "'Choose a square with 16 dots'" 30 698 698 6.54821910276237 6.3578422665081 577 659 "Expected"
"139" "s01" "26:35:44" "s01:t139" 139 "Vague" "Matching" "LtoR" "Large" "'Choose a square with about 40 dots'" 36 565 565 6.33682573114644 6.54821910276237 698 512 "Expected"
